week_start,sessions,cart_sessions,transaction_sessions,cart_session_rate_pct,transaction_session_rate_pct
2015-05-04,82691,2170,751,2.624227545923982,0.90820040875065
2015-05-11,92079,2408,814,2.615145690113924,0.8840235015584443
2015-05-18,95858,2162,717,2.255419474639571,0.7479813891381001
2015-05-25,90200,2234,746,2.4767184035476717,0.8270509977827051
2015-06-01,90424,2255,739,2.493806953906043,0.8172609041847297
2015-06-08,82894,1979,613,2.3873863005766403,0.7394986368132797
2015-06-15,88374,2500,823,2.8288863240319553,0.9312693778713196
2015-06-22,86748,2323,800,2.6778715359431917,0.9222114630884862
2015-06-29,86518,2124,718,2.454980466492522,0.8298851106128204
2015-07-06,104348,2462,787,2.3594127343121096,0.7542070763215395
2015-07-13,99871,2289,742,2.291956624045018,0.7429584163571007
2015-07-20,110796,2574,783,2.3231885627639985,0.7067042131484891
2015-07-27,93367,2452,819,2.6261955508905714,0.8771835873488492
2015-08-03,85636,2192,692,2.5596711663319165,0.8080713718529591
2015-08-10,81261,1975,580,2.430440186559358,0.7137495231414824
2015-08-17,83826,2146,724,2.56006489633288,0.8636938420060601
2015-08-24,84132,2289,739,2.7207245756668095,0.8783815908334522
2015-08-31,79988,1904,601,2.3803570535580336,0.7513627044056609
2015-09-07,91552,2218,722,2.422666899685425,0.7886228591401608
